,track_name,album_name,popularity,release_date,duration,artist_name
0,Why Me,The Austin Sessions,23,1999-08-20,177840,Kris Kristofferson
1,Second Sight,Returning Current,6,2017-03-10,266413,Snowblink
2,Martha,Closing Time (Remastered),51,1973-03-06,268866,Tom Waits
3,Now I'm In It - Bonus Track,Women In Music Pt III (Expanded Edition),57,2021-02-19,204280,HAIM
4,Boys And Girls Of 2018 And Everything In Between,MAYBE,29,2019-09-17,140466,Valley
5,Delicate,O,55,2003-03-24,312066,Damien Rice
6,Nobody Wins,The Austin Sessions,12,1999-08-20,246733,Kris Kristofferson
7,Black Oak,Safe and Also No Fear,25,2019-08-02,402141,"Slaughter Beach, Dog"
8,Fruits Of My Labor,World Without Tears,54,2003-01-01,288133,Lucinda Williams
9,The Bad In Each Other,Metals,35,2011-01-01,284506,Feist
10,Gold and Green,Birdie,47,2017-10-27,187696,"Slaughter Beach, Dog"
11,Don't Think Twice It's Alright,Chris Thile & Brad Mehldau,40,2017-01-20,361413,Brad Mehldau
12,Hurry,K.T.S.E.,47,2018-06-23,174200,Kanye West
13,I Would Like To Call It Beauty,The Sea,21,2010-01-01,258920,Corinne Bailey Rae
14,For All We Know,A Donny Hathaway Collection,29,1990-04-03,219600,Donny Hathaway
15,So We Say,Three The Hard Way,8,2017-08-18,226353,Krystle Warren
16,Sticking to My Guns,Gumbo,45,2017-04-21,221748,PJ Morton
17,Real Love Baby,Real Love Baby,58,2016-07-26,189293,Father John Misty
18,Living at the Ceiling,Fear,18,2019-09-13,284360,Begonia
19,Nervous Driver,Thx,53,2017-09-08,144865,Lomelda
20,Call Me When You Get This,Corinne Bailey Rae,39,2006-01-01,304866,Corinne Bailey Rae
21,Torn Screen Door,Torn Screen Door,31,1999,98080,David Francey
22,Ready For Love,Soul Sisters,44,2019-04-19,268800,India.Arie
23,Let It Lie,Let It Lie,24,2015-01-27,244000,The Bros. Landreth
24,Now At Last,Let It Die,20,2004-01-01,196240,Feist
25,Self,Room 25,8,2018-09-14,94932,Noname
26,"Strength, Courage, and Wisdom - India Arie",Muzik of the Mind and Spirit - a Concept Compilation,45,2006-01-01,301866,India.Arie
27,Motivation,Motivation,69,2019-08-16,193837,Normani
28,No Other Love,No Other Love,39,2002-06-18,233706,Chuck Prophet
29,Poses,Poses,29,2001-01-01,299760,Rufus Wainwright
30,The Story of an Artist,The Late Great Daniel Johnston: Discovered Covered,17,2004-09-21,260160,M Ward
31,MONOPOLY (with Victoria Monét),MONOPOLY,62,2019-04-01,158586,Victoria Monét
32,Home,The Nameless Ranger,36,2015-10-30,272794,Modern Baseball
33,World Spins Madly On,Say I Am You,62,2005-12-20,165133,Steve Tannen
34,Yellow Eyes,Imaginary Man,49,2015-08-14,230786,Rayland Baxter
35,Feel The Need,a tree planted by water,44,2019-06-14,228926,Eryn Allen Kane
36,To Beat The Devil,The Essential Kris Kristofferson,36,2004-02-15,282640,Kris Kristofferson
37,Take Care,Alone at Last,16,2018-10-26,97114,Tasha
