playlist_name,duration_min
4/12/19,4.305268965517241
ATL w/Melissa,3.808266666666667
Angola 70's,4.5736056666666665
Apt. 435,4.666261538461539
Current Plane Playlist,3.706912643678161
Introducing:,3.27441875
Lina's spanish songs,3.816748484848485
Música do antigamente,3.696973809523809
PRAISE,5.0019116666666665
Re-education: Bob Dylan,4.104439583333334
Roo Panes,4.536057575757575
To listen to 8/2,3.607164492753623
Worship,6.339323333333333
You are safe,4.507170833333333
a love letter to little me,3.388137931034483
coming of age online,4.1778146666666665
current nov22,2.9165500000000004
currents,3.594045
dance,3.4964256666666667
disney!!!!!!!!!!!!!,3.1773763333333336
doin' the naughty,4.413583333333333
"dont worry, you're doing just fine",3.3932115384615384
fearless,4.101738095238096
feb '20,3.5732777777777778
florence,1.9507466666666666
for dancing,3.3881602272727274
jan '20,3.3420822916666664
lil's recs,3.7690375
march to aug '20,3.319944444444445
our first dance,3.56745
right now,3.0904822916666665
road to atl,3.5558366666666665
sing me to sleep,3.647189583333333
summer2018,4.359894871794872
summer2019,3.551034375
that new new country,3.483757971014493
the great escape,3.8316416666666666
to lay on the floor,3.3346555555555555
to my future daughter or son,3.4423875
wedding playlist,2.770883333333333
wedding playlist 2,3.2776833333333335
when you realize you’re both in love,3.2238277777777777
