,Month,Race,total
0,1,,6
1,1,Asian,4
2,1,Black,26
3,1,Hispanic,21
4,1,Native,3
5,1,White,58
6,2,,9
7,2,Asian,1
8,2,Black,29
9,2,Hispanic,19
10,2,White,59
11,3,,11
12,3,Asian,2
13,3,Black,42
14,3,Hispanic,18
15,3,Native,3
16,3,White,74
17,4,,7
18,4,Asian,2
19,4,Black,41
20,4,Hispanic,22
21,4,Native,3
22,4,White,64
23,5,,17
24,5,Asian,1
25,5,Black,31
26,5,Hispanic,8
27,5,Other,2
28,5,White,67
29,6,,6
30,6,Black,23
31,6,Hispanic,24
32,6,Native,1
33,6,White,49
34,7,,8
35,7,Asian,1
36,7,Black,31
37,7,Hispanic,25
38,7,Native,2
39,7,Other,2
40,7,White,83
41,8,,15
42,8,Black,33
43,8,Hispanic,23
44,8,White,65
45,9,,12
46,9,Asian,2
47,9,Black,29
48,9,Hispanic,20
49,9,Native,7
50,9,Other,1
51,9,White,59
52,10,,14
53,10,Asian,1
54,10,Black,35
55,10,Hispanic,23
56,10,White,54
57,11,Asian,1
58,11,Black,27
59,11,Hispanic,20
60,11,Other,1
61,11,White,62
62,12,,9
63,12,Asian,4
64,12,Black,31
65,12,Hispanic,23
66,12,Other,4
67,12,White,57
